Customer Name,Employee Name,Route Name,State,Visit Day,acedns
CGTB0011,DNV0159,Bolangir,ROI,,Y
CGTK0003,DNV0168,Ranchi,ROI,,Y
CGTI0001,DNV0180,Gaya,ROI,,Y
CGTM0016,DNV0175,Imphal,ROI,,Y
CGTM0018,DNV0161,Bhubaneswar,ROI,,Y
CNOM0029,DNV0144,Agartala,ROI,,Y
CGTN0011,DNV0149,GUWAHATI,ROI,,Y
CGTN0003,DNV0144,Agartala,ROI,,Y
CGTO0002,DNV0177,Cuttack,ROI,,Y
CGTR0006,DNV0181,Berhampur,ROI,,Y
CGTS0028,DNV0176,Dhanbad,ROI,,Y
CWTR0001,DNV0159,Bolangir,ROI,,Y
CGTS0024,DNV0167,GUWAHATI,ROI,,Y
CGTB0012,DNV0162,Izol,ROI,,Y
CGTP0005,DNV0149,Shillong,ROI,,Y
CGTS0030,DNV0138,Krishnanagar,West Bengal,,Y
CGTG0007,DNV0061,Amarshi,West Bengal,,Y
CGTA0003,DNV0136,Siliguri,West Bengal,,Y
CGTS0014,DNV0061,Midnapore,West Bengal,,Y
CGTK0002,DNV0179,Bahrampur,West Bengal,,Y
SE002,DNV0147,Muzaffarpur,ROI,,Y
MSE001,DNV0147,Patna,ROI,,Y
CGTB0005,DNV0179,Elahiganj,West Bengal,,Y
RANA01,DNV0179,Plassey,West Bengal,,Y
ROYET1,DNV0138,Bagula,West Bengal,,Y
SAHABR1,DNV0138,Krishnanagar - II,West Bengal,,Y
SENBR01,DNV0138,Krishnanagar,West Bengal,,Y
SUBDPE,DNV0138,Ranaghat,West Bengal,,Y
CNOS0022,DNV0178,C.K. Road,West Bengal,,Y
BIE009,DNV0178,C.K.Town,West Bengal,,Y
JAENT01,DNV0120,KHAKURDA,West Bengal,,Y
SAKMED,DNV0120,KESHPUR,West Bengal,,Y
SAE084,DNV0178,Ghatal,West Bengal,,Y
SRE096,DNV0178,Gharbeta,West Bengal,,Y
CGTJ0001,DNV0163,Kharagpur,West Bengal,,Y
ADVST01,DNV0163,Pirakata,West Bengal,,Y
AME005,DNV0061,Silda,West Bengal,,Y
SUTRA01,DNV0120,Belda,West Bengal,,Y
MSE002,DNV0120,Khirpai,West Bengal,,Y
MAE049,DNV0061,Jhargram,West Bengal,,Y
MATENT2,DNV0120,Dujipur,West Bengal,,Y
MAM053,DNV0061,Keshary,West Bengal,,Y
SAE081,DNV0120,Goura,West Bengal,,Y
SHKT01,DNV0163,Midnapore,West Bengal,,Y
SIDHE01,DNV0120,Kolaghat,West Bengal,,Y
SUB101,DNV0061,Military Road,West Bengal,,Y
NEHATRD1,DNV0109,RANISAI,West Bengal,,Y
SONVR,DNV0109,Amarshi,West Bengal,,Y
STPENT,DNV0109,Balighai,West Bengal,,Y
SVMTRD1,DNV0109,BAHIRE,West Bengal,,Y
CNOM0013,DNV0109,Bhagabanpur,West Bengal,,Y
MAIT01,DNV0109,Madhakhali,West Bengal,,Y
MOE056,DNV0109,Contai,West Bengal,,Y
PRD069,DNV0109,Ramnagar,West Bengal,,Y
CGTS0013,DNV0130,Kalinpong,West Bengal,,Y
CGTP0002,DNV0153,Mathabhanga,West Bengal,,Y
CGTP0001,DNV0153,Jaigaon,West Bengal,,Y
CGTM0007,DNV0153,Alipurduar,West Bengal,,Y
CGTD0011,DNV0153,Baxirhat,West Bengal,,Y
CGTB0006,DNV0153,Kumargram,West Bengal,,Y
CGTS0011,DNV0013,Siliguri,West Bengal,,Y
CGTR0003,DNV0013,Dalkhola,West Bengal,,Y
CGTR0002,DNV0013,Bagdogra Sliguri,West Bengal,,Y
CGTO0001,DNV0130,Siliguri,West Bengal,,Y
CGTS0006,DNV0083,Labpur,West Bengal,,Y
CGTM0014,DNV0010,Ghatakpukur,West Bengal,,Y
CGTG0002,DNV0138,Chakdah,West Bengal,,Y
CGTS0029,DNV0187,Behala,West Bengal,,Y
CGTS0027,DNV0017,Gushkara,West Bengal,,Y
CGTS0026,DNV0187,Diamond Harbour,West Bengal,,Y
CGTS0018,DNV0152,BONGAON,West Bengal,,Y
CGTS0008,DNV0017,Dubrajpur,West Bengal,,Y
CGTS0007,DNV0017,Rampurhat,West Bengal,,Y
CGTS0005,DNV0130,Gangarampur,West Bengal,,Y
CGTP0004,DNV0119,Sialla,West Bengal,,Y
CGTP0003,DNV0052,Santoshpur-2,West Bengal,,Y
CGTN0008,DNV0187,Behala,West Bengal,,Y
CGTN0006,DNV0083,Chatra,West Bengal,,Y
CGTN0002,DNV0119,Kandra,West Bengal,,Y
CGTN0001,DNV0152,barasat,West Bengal,,Y
CGTM0015,DNV0187,Kolkata,West Bengal,,Y
CGTM0011,DNV0083,Suri,West Bengal,,Y
CGTM0009,DNV0152,birati,West Bengal,,Y
CGTM0004,DNV0052,jadavpore,West Bengal,,Y
CGTM0002,DNV0153,Coochbehar,West Bengal,,Y
CGTJ0003,DNV0119,Ilambazar,West Bengal,,Y
CGTJ0002,DNV0152,Maddhyamgram,West Bengal,,Y
CGTI0002,DNV0124,Baghajatin,West Bengal,,Y
CGTF0003,DNV0123,Kalighat,West Bengal,,Y
CGTD0009,DNV0010,Budbud,West Bengal,,Y
CGTD0008,DNV0013,Islampur,West Bengal,,Y
CGTD0007,DNV0152,belghoria,West Bengal,,Y
CGTD0004,DNV0123,Sonarpur,West Bengal,,Y
CGTD0003,DNV0123,New Garia,West Bengal,,Y
CGTD0001,DNV0083,Sainthia,West Bengal,,Y
CGTB0003,DNV0123,GARIA,West Bengal,,Y
CGTB0002,DNV0017,Ahmadpur,West Bengal,,Y
CGTB0001,DNV0124,5 no.Garia,West Bengal,,Y
CGTA0001,DNV0083,Nalhati,West Bengal,,Y
DEBRAG,DNV0159,Bolangir,ROI,,Y
DIPKIR,DNV0159,Bolangir,ROI,,Y
JOSHAG,DNV0159,Bolangir,ROI,,Y
RAHENT,DNV0159,Rampur,ROI,,Y
SBAGN,DNV0159,Bolangir,ROI,,Y
SHRTD,DNV0159,Soneour,ROI,,Y
ADTET,DNV0168,Ranchi-II,ROI,,Y
DASE01,DNV0168,Ranchi,ROI,,Y
JAINAG,DNV0168,Ranchi-I,ROI,,Y
RKAS01,DNV0168,Ranchi,ROI,,Y
SS001,DNV0168,Ranchi,ROI,,Y
STARTD,DNV0168,Hazaribag,ROI,,Y
KESE1,DNV0180,Gaya,ROI,,Y
CWRE01,DNV0180,Gaya,ROI,,Y
NE001,DNV0180,Gaya,ROI,,Y
RIYE01,DNV0180,Gaya,ROI,,Y
VARE01,DNV0180,Gaya,ROI,,Y
SHASTD,DNV0180,Gaya,ROI,,Y
AMITENT,DNV0180,Bodhgaya,ROI,,Y
DHENT,DNV0147,Patna,ROI,,Y
AE0001,DNV0147,Patna,ROI,,Y
TOMST,DNV0175,IMPHAL WEST,ROI,,Y
DBANJ1,DNV0189,Lakhimpur,ROI,,Y
JAIRENT1,DNV0186,Tinsukia,ROI,,Y
KIL01,DNV0162,Silchar,ROI,,Y
MNENT1,DNV0186,Ledo,ROI,,Y
SMTSPM,DNV0186,Dibrugarh,ROI,,Y
VDTRD01,DNV0186,Margherita,ROI,,Y
NMHBS1,DNV0162,BADARPUR,ROI,,Y
SUPENT1,DNV0162,Silchar,ROI,,Y
DUSE022,DNV0144,Khowai,ROI,,Y
DEBENT,DNV0144,Agartala,ROI,,Y
PPCH1,DNV0144,Khowai,ROI,,Y
PRYE1,DNV0144,Kailashnagar,ROI,,Y
DADHA,DNV0177,Jagatsinghpur,ROI,,Y
KJLENT1,DNV0177,Jagatsinghpur,ROI,,Y
RBAGN1,DNV0177,Jagatsinghpur,ROI,,Y
SRYMRT1,DNV0177,Cuttack,ROI,,Y
LIPUN,DNV0177,Barbil,ROI,,Y
MUKENT,DNV0177,Bhadrak,ROI,,Y
TRMUG1,DNV0181,Berhampur,ROI,,Y
KNKDTRD,DNV0181,Berhampur,ROI,,Y
MALX01,DNV0181,Berhampur,ROI,,Y
ESHET1,DNV0176,Dhanbad,ROI,,Y
MOTITD,DNV0176,Dhanbad,ROI,,Y
PRKST1,DNV0176,Dhanbad,ROI,,Y
AMBKA,DNV0161,Pipli,ROI,,Y
BTJ01,DNV0161,Jatni,ROI,,Y
CHAKIT,DNV0161,Bhubaneswar,ROI,,Y
DAA01,DNV0161,Pipli,ROI,,Y
HANUAG,DNV0161,Bhubaneswar,ROI,,Y
JA001,DNV0161,Pipli,ROI,,Y
SRLENT,DNV0161,Pipli,ROI,,Y
MANS1,DNV0161,Khurda,ROI,,Y
MANSENT,DNV0161,Khordha,ROI,,Y
NUTRD,DNV0161,Bhubaneswar,ROI,,Y
OMT01,DNV0161,Chandanpur,ROI,,Y
OSST01,DNV0161,Bhubaneswar,ROI,,Y
PPT01,DNV0161,Bhubaneswar,ROI,,Y
SRA001,DNV0161,Nimapara,ROI,,Y
