Customer Name,Employee Name,Route Name,State,Visit Day,acedns
C0096,,Local-Rudhauli,UP,Tuesday,N
C0096,1319,Local-Rudhauli,UP,Tuesday,N
C0096,1009,Local-Rudhauli,UP,Tuesday,Y
C0096,1081,Local-Rudhauli,,,Y
C0096,1124,Local-Rudhauli,,,Y
C0096,,Bakhira Road,UP,Tuesday,N
C0096,1319,Bakhira Road,UP,Tuesday,N
C0096,1009,Bakhira Road,UP,Tuesday,Y
C0096,1081,Bakhira Road,,,Y
C0096,1124,Bakhira Road,,,Y
C0124,,Basti,UP,Monday,N
C0124,1319,Basti,UP,Monday,N
C0124,1009,Basti,UP,Monday,N
C0162,4055,,,,N
C0162,4055,,,,Y
C0162,,Nath Nagar,UP,Monday,N
C0162,1319,Nath Nagar,UP,Monday,N
C0162,1009,Nath Nagar,UP,Monday,Y
C0162,1081,Nath Nagar,,,Y
C0162,1126,Nath Nagar,,,Y
C0162,,Harihar Pur To Ajawan,UP,Monday,N
C0162,1319,Harihar Pur To Ajawan,UP,Monday,N
C0162,1009,Harihar Pur To Ajawan,UP,Monday,Y
C0162,1081,Harihar Pur To Ajawan,,,Y
C0162,1126,Harihar Pur To Ajawan,,,Y
C0162,,Jarma Patti Kali,UP,Wednesday,N
C0162,1319,Jarma Patti Kali,UP,Wednesday,N
C0162,1009,Jarma Patti Kali,UP,Wednesday,Y
C0162,1081,Jarma Patti Kali,,,Y
C0162,1126,Jarma Patti Kali,,,Y
C0162,,Mukhlispur,UP,Thursday,N
C0162,1319,Mukhlispur,UP,Thursday,N
C0162,1009,Mukhlispur,UP,Thursday,Y
C0162,1081,Mukhlispur,,,Y
C0162,1126,Mukhlispur,,,Y
C0162,,Haisar,UP,Thursday,N
C0162,1319,Haisar,UP,Thursday,N
C0162,1009,Haisar,UP,Thursday,Y
C0162,1081,Haisar,,,Y
C0162,1126,Haisar,,,Y
C0255,,Dabaulia,UP,Monday,N
C0255,1319,Dabaulia,UP,Monday,N
C0255,1009,Dabaulia,UP,Monday,Y
C0255,1081,Dabaulia,,,Y
C0255,1124,Dabaulia,,,Y
C0255,,Local -Visheshwarganj,UP,Monday,N
C0255,1319,Local -Visheshwarganj,UP,Monday,N
C0255,1009,Local -Visheshwarganj,UP,Monday,Y
C0255,1081,Local -Visheshwarganj,,,Y
C0255,1124,Local -Visheshwarganj,,,Y
C0490,1319,Bagh Nagar,UP,,N
C0490,1009,Bagh Nagar,,,Y
C0490,1081,Bagh Nagar,,,Y
C0490,1124,Bagh Nagar,,,Y
C0490,,Semriyawan Road,UP,Thursday,N
C0490,1319,Semriyawan Road,UP,Thursday,N
C0490,1009,Semriyawan Road,UP,Thursday,Y
C0490,1081,Semriyawan Road,,,Y
C0490,1124,Semriyawan Road,,,Y
C0490,,Ghesiyari,UP,Tuesday,N
C0490,1319,Ghesiyari,UP,Tuesday,N
C0490,1009,Ghesiyari,UP,Tuesday,Y
C0490,1081,Ghesiyari,,,Y
C0490,1124,Ghesiyari,,,Y
C0490,,Hanumanganj,UP,Friday,N
C0490,1319,Hanumanganj,UP,Friday,N
C0490,1009,Hanumanganj,UP,Friday,Y
C0490,1081,Hanumanganj,,,Y
C0490,1124,Hanumanganj,,,Y
C0632,,Local- Makhoda,UP,Tuesday,N
C0632,1319,Local- Makhoda,UP,Tuesday,N
C0632,1009,Local- Makhoda,UP,Tuesday,Y
C0632,1081,Local- Makhoda,,,Y
C0632,1124,Local- Makhoda,,,Y
C0632,,Parsa Road,UP,Friday,N
C0632,1319,Parsa Road,UP,Friday,N
C0632,1009,Parsa Road,UP,Friday,Y
C0632,1081,Parsa Road,,,Y
C0632,1124,Parsa Road,,,Y
C1048,,Local -Chawni Bazar,UP,Monday,N
C1048,4055,Local -Chawni Bazar,,,Y
C1048,1319,Local -Chawni Bazar,UP,Monday,N
C1048,1009,Local -Chawni Bazar,UP,Monday,Y
C1048,1081,Local -Chawni Bazar,,,Y
C1048,1124,Local -Chawni Bazar,,,Y
C1552,,Local -Dumariyaganj,UP,Friday,N
C1552,1319,Local -Dumariyaganj,UP,Friday,N
C1552,1009,Local -Dumariyaganj,UP,Friday,Y
C1552,1081,Local -Dumariyaganj,,,Y
C1552,1124,Local -Dumariyaganj,,,Y
C1552,,Bewa-Halaur,UP,Friday,N
C1552,1319,Bewa-Halaur,UP,Friday,N
C1552,1009,Bewa-Halaur,UP,Friday,Y
C1552,1081,Bewa-Halaur,,,Y
C1552,1124,Bewa-Halaur,,,Y
C1552,,BARHNICHAPA,UP,Friday,N
C1552,1319,BARHNICHAPA,UP,Friday,N
C1552,1009,BARHNICHAPA,UP,Friday,Y
C1552,1081,BARHNICHAPA,,,Y
C1552,1124,BARHNICHAPA,,,Y
C2617,,Vikramjoot,UP,Friday,N
C2617,1319,Vikramjoot,UP,Friday,N
C2617,1009,Vikramjoot,UP,Friday,Y
C2617,1081,Vikramjoot,,,Y
C2617,1124,Vikramjoot,,,Y
C2617,,Patthapur,UP,Saturday,N
C2617,1319,Patthapur,UP,Saturday,N
C2617,1009,Patthapur,UP,Saturday,Y
C2617,1081,Patthapur,,,Y
C2617,1124,Patthapur,,,Y
C2617,,Kohray,UP,Wednesday,N
C2617,1319,Kohray,UP,Wednesday,N
C2617,1009,Kohray,UP,Wednesday,Y
C2617,1081,Kohray,,,Y
C2617,1124,Kohray,,,Y
C2617,,Amari,UP,Tuesday,N
C2617,1319,Amari,UP,Tuesday,N
C2617,1009,Amari,UP,Tuesday,Y
C2617,1081,Amari,,,Y
C2617,1124,Amari,,,Y
C2718,1009,Satha-Lalli,,,Y
C2718,1081,Satha-Lalli,,,Y
C2718,1124,Satha-Lalli,,,Y
C2718,,Local -Medhawal,UP,Wednesday,N
C2718,1319,Local -Medhawal,UP,Wednesday,N
C2718,1009,Local -Medhawal,UP,Wednesday,Y
C2718,1081,Local -Medhawal,,,Y
C2718,1124,Local -Medhawal,,,Y
C2718,1319,Satha,UP,,N
C2718,1009,Satha,,,Y
C2800,1002,,,,N
C2800,1002,,,,Y
C2800,1002,,,,Y
C2800,1002,,,,Y
C2800,,Dharamsingwa,UP,Monday,N
C2800,1319,Dharamsingwa,UP,Monday,N
C2800,1009,Dharamsingwa,,,Y
C2800,1081,Dharamsingwa,,,Y
C2800,1124,Dharamsingwa,,,Y
C2801,,Local -Harraiya,UP,Saturday,N
C2801,1319,Local -Harraiya,UP,Saturday,N
C2801,1009,Local -Harraiya,UP,Saturday,N
C2801,1081,Local -Harraiya,UP,,Y
C2956,,Local -Nagar Bazar,UP,Saturday,N
C2956,1319,Local -Nagar Bazar,UP,Saturday,N
C2956,1009,Local -Nagar Bazar,UP,Saturday,Y
C2956,1081,Local -Nagar Bazar,,,Y
C2956,1124,Local -Nagar Bazar,,,Y
C2956,,Karwari Khusauhara,UP,Saturday,N
C2956,1319,Karwari Khusauhara,UP,Saturday,N
C2956,1009,Karwari Khusauhara,UP,Saturday,Y
C2956,1081,Karwari Khusauhara,,,Y
C2956,1124,Karwari Khusauhara,,,Y
C2956,,Chilmapur Daboulia,UP,Wednesday,N
C2956,1319,Chilmapur Daboulia,UP,Wednesday,N
C2956,1009,Chilmapur Daboulia,UP,Wednesday,Y
C2956,1081,Chilmapur Daboulia,,,Y
C2956,1124,Chilmapur Daboulia,,,Y
C2956,,Captanganj road,UP,Thursday,N
C2956,1319,Captanganj road,UP,Thursday,N
C2956,1009,Captanganj road,UP,Thursday,Y
C2956,1081,Captanganj road,,,Y
C2956,1124,Captanganj road,,,Y
C2956,,PIPRAGAUTAM,UP,Sunday,N
C2956,1319,PIPRAGAUTAM,UP,Sunday,N
C2956,1009,PIPRAGAUTAM,UP,Sunday,Y
C2956,1081,PIPRAGAUTAM,,,Y
C2956,1124,PIPRAGAUTAM,,,Y
C0238,1074,Gauri Bazar,UP,,N
C0238,1008,Gauri Bazar,UP,,N
C0238,1074,Chauri Chaura,UP,,N
C0238,1008,Chauri Chaura,UP,,N
C0238,,Nai Bazar To Barhi,UP,Saturday,N
C0238,1074,Nai Bazar To Barhi,UP,Saturday,N
C0238,1008,Nai Bazar To Barhi,UP,Saturday,N
