Customer Name,Employee Name,Route Name,State,Visit Day,acedns
ASLAGRA005,,AGRA,,,Y
ASLAGRA005,ASLM001,AGRA,,,Y
ASLDR00001,,Bhiwadi,,,Y
ASLDR00001,ASL1018,Bhiwadi,,,Y
ASLDR00001,ASLS077,Bhiwadi,,,Y
ASLDR00001,ASL1028,Bhiwadi,,,Y
ASLDR00004,,DELHI,,,Y
ASLDR00004,ASL1018,DELHI,,,Y
ASLDR00004,ASLS077,DELHI,,,Y
ASLDR00004,ASL1028,DELHI,,,Y
ASLJPR0003,,JAIPUR,,,Y
ASLJPR0003,ASLM001,JAIPUR,,,Y
ASLLUD0004,,Ludhiana,,,Y
ASLLUD0004,ASLM001,Ludhiana,,,Y
ASLMBD0002,,Moradabad,,,Y
ASLMBD0002,ASLM001,Moradabad,,,Y
ASLMRT0001,,Meerut,,,Y
ASLMRT0001,ASLM001,Meerut,,,Y
BKYDR00001,,Ludhiana,,,Y
BKYDR00001,ASL1018,Ludhiana,,,Y
BKYDR00001,ASLS080,Ludhiana,,,Y
BKYDR00004,,DELHI,,,Y
BKYDR00004,ASL1018,DELHI,,,Y
BKYDR00004,ASLS080,DELHI,,,Y
BKYDR00004,ASLS082,DELHI,,,Y
BKYDR00005,,GHAZIABAD,,,Y
BKYDR00005,ASLS014,GHAZIABAD,,,Y
BKYDR00005,ASLS012,GHAZIABAD,,,Y
BKYDR00005,ASLS082,GHAZIABAD,,,Y
BKYDR00006,,GHAZIABAD,,,Y
BKYDR00006,ASLS012,GHAZIABAD,,,Y
BKYDR00006,ASLS011,GHAZIABAD,,,Y
BKYDR00009,ASLS014,DELHI,,,Y
BKYDR00009,,JHIL,,,Y
BKYDR00009,ASLS014,JHIL,,,Y
VNSDR00251,,LUDHIYANA,,,Y
VNSDR00251,ASLS070,LUDHIYANA,,,Y
VNSDR00251,ASL1028,LUDHIYANA,,,Y
BKYDR00010,,Allahabad,,,Y
BKYDR00010,ASLS007,Allahabad,,,Y
BKYDR00011,,PANIPAT,,,Y
BKYDR00011,ASL1018,PANIPAT,,,Y
BKYDR00011,ASLS079,PANIPAT,,,Y
BKYDR00013,,RAMPURA,,,N
BKYDR00013,ASL1018,RAMPURA,,,N
BKYDR00013,ASL0002,RAMPURA,,,Y
BKYDR00013,ASLS012,RAMPURA,,,Y
BKYDR00013,ASLS012,Moradabad,,,Y
BKYDR00015,,ALWAR,,,Y
BKYDR00015,ASL1018,ALWAR,,,Y
BKYDR00015,ASLS076,ALWAR,,,Y
BKYDR00015,ASLS082,ALWAR,,,Y
BKYDR00016,,KANPUR,,,N
BKYDR00016,ASLS007,KANPUR,,,N
BKYDR00017,,KANPUR,,,Y
BKYDR00017,ASL1018,KANPUR,,,Y
BKYDR00017,ASLS007,KANPUR,,,Y
BKYDR00017,ASLS082,KANPUR,,,Y
BKYDR00018,,GURGAON,,,Y
BKYDR00018,ASL1018,GURGAON,,,Y
BKYDR00018,ASLS079,GURGAON,,,Y
BKYDR00020,,AGRA,,,Y
BKYDR00020,ASLS014,AGRA,,,Y
BKYDR00020,ASLS078,AGRA,,,Y
BKYDR00022,,NAGPUR,,,Y
BKYDR00022,ASL1018,NAGPUR,,,Y
BKYDR00022,ASLS074,NAGPUR,,,Y
BKYDR00023,,Moradabad,,,Y
BKYDR00023,ASLS012,Moradabad,,,Y
BKYDR00023,ASLS011,Moradabad,,,Y
BKYDR00023,ASLS076,Moradabad,,,Y
BKYDR00024,,Hardwar (Haridwar),,,Y
BKYDR00024,ASL1018,Hardwar (Haridwar),,,Y
BKYDR00024,ASLS076,Hardwar (Haridwar),,,Y
BKYDR00024,ASLS012,HARIDWAR,,,Y
BKYDR00025,,DELHI,,,Y
BKYDR00025,ASL1018,DELHI,,,Y
BKYDR00025,ASLS082,DELHI,,,Y
BKYDR00026,,KOTA,,,Y
BKYDR00026,ASL1018,KOTA,,,Y
BKYDR00026,ASLS076,KOTA,,,Y
BKYDR00026,ASLS082,KOTA,,,Y
BKYDR00027,,Srinagar,,,Y
BKYDR00027,ASL1018,Srinagar,,,Y
BKYDR00027,ASLS076,Srinagar,,,Y
BKYDR00027,ASLS080,Srinagar,,,Y
BKYDR00028,,NOIDA,,,Y
BKYDR00028,ASLS011,NOIDA,,,Y
BKYDR00028,ASLS076,NOIDA,,,Y
BKYDR00028,ASLS082,NOIDA,,,Y
BKYDR00028,ASLS082,BHARATPUR,,,Y
BKYDR00029,,Varanasi [Benares],,,Y
BKYDR00029,ASLS007,Varanasi [Benares],,,Y
BKYDR00030,,LUCKNOW,,,Y
BKYDR00030,ASL0002,LUCKNOW,,,Y
BKYDR00030,ASLS011,LUCKNOW,,,Y
BKYDR00033,,ETAWAH,,,Y
BKYDR00033,ASLS007,ETAWAH,,,Y
BKYDR00035,,PUNE,,,Y
BKYDR00035,ASL1018,PUNE,,,Y
BKYDR00035,ASLS074,PUNE,,,Y
BKYDR00036,,Ludhiana,,,Y
BKYDR00036,ASL1018,Ludhiana,,,Y
BKYDR00036,ASLS080,Ludhiana,,,Y
BKYDR00038,,JHANSI,,,Y
BKYDR00038,ASL1018,JHANSI,,,Y
BKYDR00038,ASLS011,JHANSI,,,Y
BKYDR00040,,Haldwani Talli,,,Y
BKYDR00040,ASL1018,Haldwani Talli,,,Y
BKYDR00040,ASLS076,Haldwani Talli,,,Y
BKYDR00042,ASL1018,Hardwar (Haridwar),,,Y
BKYDR00042,ASLS012,Hardwar (Haridwar),,,Y
BKYDR00042,ASLS076,Hardwar (Haridwar),,,Y
BKYDR00043,,Gorakhpur,,,Y
BKYDR00043,ASL1018,Gorakhpur,,,Y
BKYDR00043,ASL0002,Gorakhpur,,,Y
BKYDR00044,,JAIPUR,,,Y
BKYDR00044,ASL1018,JAIPUR,,,Y
BKYDR00044,ASLS076,JAIPUR,,,Y
BKYDR00044,ASLS082,JAIPUR,,,Y
LSEDR00044,,GHAZIABAD,,,Y
LSEDR00044,ASLM001,GHAZIABAD,,,Y
LSEDR00044,ASL1018,GHAZIABAD,,,Y
LSEDR00044,Interns22,GHAZIABAD,,,Y
LSEDR00045,,Ludhiana,,,Y
LSEDR00045,ASLM001,Ludhiana,,,Y
LSEDR00045,ASL1018,Ludhiana,,,Y
LSEDR00046,,DELHI,,,Y
LSEDR00046,ASLM001,DELHI,,,Y
LSEDR00046,ASL1018,DELHI,,,Y
BPRDR00001,,AMRITSAR,,,Y
BPRDR00001,ASL1018,AMRITSAR,,,Y
BPRDR00001,ASLS077,AMRITSAR,,,Y
BPRDR00001,ASL1028,AMRITSAR,,,Y
BPRDR00002,,MALANPUR,,,Y
