Customer Name,Employee Name,Route Name,State,Visit Day,acedns
NILA ENTERPRISE (9732017513),ANISH GANGULY,AKUI; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,RAYNA; BURDWAN,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,KATULPUR; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,SHUSPUR; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,BAMUNIA; BURDWAN,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,UCHALAN; BURDWAN,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,AKLAXMI; BURDWAN,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,PATRASAYER; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,BALSI; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,ROL; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,UKHRID; BANKURA,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,SEHARA BAZAR; BURDWAN,WEST BENGAL,,Y
NILA ENTERPRISE (9732017513),ANISH GANGULY,KHANDOGHOSH; BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,MURADPUR; BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,11 MILE; BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,AUSHGRAM; BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,GUSKARA; BURDWAN,WEST BENGAL,,Y
SRI RAM OIL MILL (9474917821),ANISH GANGULY,BALGANA; BURDWAN,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,GOPALPUR; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,ANDAL AND KAJORA; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,FARIDPUR; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,KADA ROAD; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,MAIN GATE; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,ASHIS MARKET; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,D SECTOR; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,54 FEET ROAD; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,CITY CENTER; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,BENACHITY; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,RAJBANDH; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,KANKSA; DURGAPUR,WEST BENGAL,,Y
B. K. ENTERPRISE (9332506465),ANISH GANGULY,PANAGARH; DURGAPUR,WEST BENGAL,,Y
SHIB SAYTA & COMPANY (9233173358),ANISH GANGULY,BOLPUR,WEST BENGAL,,Y
SHIB SAYTA & COMPANY (9233173358),ANISH GANGULY,SANTINIKATAN ROAD; BOLPUR,WEST BENGAL,,Y
