DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State
,"Charulata(Sony A/c)",9475754949,,"Berhampore",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"F1 Technology(Sony A/c)",9233006969,,"Berhampore",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Gitanjali Store(LG/Philips)",9734505068,,"Lalbagh",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Happy Electronics(LG)",0,,"Kandi",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Light & Sound(LG)",9732586296,,"Beldanga",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mondal Electronics(Bazarshow)(LG)",9734674531,,"Bazarshow",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Nayanika(LG)",9593196745,,"Salar",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"New Doordarshan(LG)",9434394975,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Pratima Electronics(LG/Philips)",0,,"Aurangabad",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Purna Laxmi Electronics(LG)",9475369377,,"Bazarshow",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Raj Enterprise (LG)",0,,"Bhagawangola",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Ramchandra Electronices (Amtala)(LG)",9734323022,,"Amtala",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Renuka Electronices (Nabagram)(LG)",9434363422,,"Nabagram",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sannyal Electronics(LG)",9434394429,,"Berhampore",Tanmay Sanyal,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Shop in (Dakbangla)(LG)",9735616263,,"Dakbanglo",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Shop In(LG)",3482251909,,"Berhampore",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Star Electronics(Bharatpur)(Philips A/c)",9434360476,,"Bharatpur",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Subarna Enterprise(LG/Philips)",9832673194,,"Jiaganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sur Sangam(Beldanga)(LG/Philips)",0,,"Beldanga",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sur Sangam(Beldanga)(Sony A/c)",9733753603,,"Beldanga",BIPLAB KUNDU,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sur Sangam(Trimohini)(LG)",9732491556,,"Trimohini",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sursangam (Amtala)(Sony A/c)",0,,"Amtala",BIPLAB KUNDU,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Video Palace(LG)",9775103436,,"Salar",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"AYESHA FURNITURE & ELECTRONICS(LG/Philips)",9732820236,,"Salar",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"B.K.Enterprise(LG/Philips)",9732757297,,"Kandi",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"B.M Enterprise(LG/Philips)",9434532562,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"B.M.R.Enterprise(LG/Philips)",9434532555,,"Berhampore",Arup Chattopadhyay,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Basak Sales & Service(LG/Philips)",0,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Basak Vision(LG/Philips)",3482251612,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"BENGAL ENTERPRISE(BELDANGA)(LG/Philips)",9732725297,,"Beldanga",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Bharat Electronics(Lalbagh)(LG/Philips)",9800826064,,"Lalbagh",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Bharat Electronics(LG/Philips)",9474315989,,"Raghunathganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Biswas Electronics(LG/Philips)",9732941517,,"Domkol",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Biswas Furniture(Shaktipur-School More)(LG/Philips)",9732770115,,"Shaktipur",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Biswas Home Appalines(LG/Philips)",8906886798,,"Raghunathganj",Tanmay Sanyal,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Chalantika(LG/Philips)",9474578880,,"Berhampore",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Chowdhury Furniture(LG/Philips)",0,,"Salar",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"D.D.Enterprise(LG/Philips)",9475127425,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Dey`s Electronics(LG/Philips)",0,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Doordarshan (Bharatpur)(LG/Philips)",9732817163,,"Bharatpur",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Dream World(LG/Philips)",9593615180,,"Nowda",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"Griha Sajja(Philips A/c)",0,,"Nadia",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Jhony Steel Furnitur(Philips A/c)",9733777181,,"Nagar",BIPLAB KUNDU,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"K.K Enterprise(LG/Philips)",0,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Kundu Electronics (RNG)(LG/Philips)",9434173829,,"Raghunathganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"M.L.Shaw & Co(LG/Philips)",9434315356,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"MAPEL COMPUTER(LG/Philips)",9733737373,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Marketing Division(LG/Philips)",9732584943,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Melody(LG/Philips)",9434530736,,"Sagarpara",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mukherjee Electronics(LG/Philips)",9434530630,,"Kandi",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"New Sarkar Radio(LG/Philips)",9733071960,,"LALGOLA",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"PARUL ELECTRONICES (LALBAG)(LG/Philips)",9932483665,,"Lalbagh",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Peyali Electronics(LG/Philips)",9732648475,,"Beldanga",Arup Chattopadhyay,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"R.P.Enterprise(LG/Philips)",9434239592,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"R.S. Steel Furniture(Philips A/c)",9635982654,,"LALGOLA",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Raj Electronics Bhagawangola(LG/Philips)",9933117454,,"Bhagawangola",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Rakshit Electronics(LG/Philips)",9475127308,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Riya Electroncs Amtala(LG/Philips)",9734874810,,"Amtala",BIPLAB KUNDU,Y,0,,0,Y,0,BERHAMPORE,R,"",,"",,"",,,,,,,,0,,,,,
,"RIZU ELECTRONICS(LG/Philips)",9734885437,,"Kandi",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Ronex Electronics(Philips A/c)",0,,"Murshidabad",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"S.K.Enterprise(LG/Philips)",9434101753,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"S.M. Furniture(Shaktipur)(LG/Philips)",9732775030,,"Shaktipur",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"S.VISION(LG/Philips)",9733075893,,"ISLAMPUR",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sangeet Mala(Jiaganj)(LG/Philips)",943402826,,"Jiaganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sarkar Enterprise(LG/Philips)",9732890602,,"Kandi",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sinha Electronics (RNG)(LG/Philips)",9732785953,,"Raghunathganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Sunny Vision(LG/Philips)",9732515480,,"Raghunathganj",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Tania & Sonia(LG/Philips)",0,,"Kandi",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Tv Servicing Centre(LG/Philips)",9474350591,,"Lalbagh",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"United Udyog(LG/Philips)",0,,"Berhampore",Arup Chattopadhyay,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Abhinandan Mobile Shop  (Mobile A/c)",9932483698,,"Raghunathganj",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Agarwal's World (Mobile A/c)",0,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Air Voice Mobile Shop (Mobile A/c)",9932717045,,"Gangarampur",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Alapon (Mobile A/c)",0,,"Beniagram",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Almas Communication (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Arati Telecom (Mobile A/c)",0,,"Itahar",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"BARTA (MOBILE A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Bhagat Communication (Mobile A/c)",0,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Bichitra (Mobile A/c)",0,,"Kandi",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Biswas Enterprise (Mobile A/c)",0,,"Bethuadahari",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Das Enterprise (Mobile A/c)",9232555557,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Deep World  Link (Mobile A/c)",0,,"Salar",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Dey Enterprise(Sony A/c)",9434148254,,"Berhampore",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"FR Electronics(Sony A/c)",8926771273,,"Bhagawangola",Tanmay Sanyal,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Galaxy (Mobile A/c)",0,,"Domkol",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Giriraj Telecom(Mobile A/c)",9434058184,,"Balurghat",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Globotel (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Gouri Traders(Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Hello India (Mobile A/c)",0,,"Balurghat",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"India Mobile (Mobile A/c)",0,,"Salar",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Jain Telecom (Mobile A/c)",8001009999,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Jibon Jyoti Telecom (Mobile A/c)",9563617690,,"Gangarampur",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"K.K Ghosh  & Sons (Mobile A/c)",0,,"Barowan",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Kalpana Traders (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Kundu Enterprise (Mobile A/c)",9732615567,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"M/S Arati Mobile (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"M/S Debrani Enterprise (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Maa Annapurna Telephone Service (Mobile A/c)",0,,"Kandi",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Manasha Varity (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mapel Computer (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Matadi Mobile Center (Mobile A/c)",0,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Bazar (Mobile A/c)",0,,"Salar",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Care (Mobile A/c)",9614123881,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Palace (Mobile A/c)",9733032650,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Planet (Mobile A/c)",9732973442,,"Salar",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Plaza (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Point (Mobile A/c)",0,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Shop (Balurghat) (Mobile A/c)",0,,"Balurghat",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Shop (Kaliaganj) (Mobile A/c)",0,,"kaliaganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Store (BHB) (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Store (Raghunathganj) (Mobile A/c)",0,,"Raghunathganj",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile Today (Mobile A/c)",0,,"Kandi",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile World  (Malda) (Mobile A/c)",0,,"Malda",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mobile World (Balurghat) (Mobile A/c)",0,,"Balurghat",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mouli Casset & Electronics (Mobile A/c)",0,,"Jiaganj",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Mukti Mobile (Mobile A/c)",0,,"Raiganj",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"Music World  (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"New Barta (Mobile A/C)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"New Friends Mobile (Mobile A/c)",0,,"Balurghat",Bijoy Ganai,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
,"New Geetanjali (Mobile A/c)",0,,"Berhampore",Srikanta Raha,Y,0,,0,N,0,BERHAMPORE,R,"",,"",,"",,,,,,,,,,,,,
