DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State
,"244, MOTHER DAIRY",,JODHPUR PARK,"JODHPUR PARK",SUBRATA DAS,Y,0,,0,N,0,,R,"M.M.ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"A VARIETY STORES",,PURBACHAL,"PURBACHAL",SUBRATA DAS,Y,0,,0,N,0,,R,"DAS MARKETING",,"",,"",,,,,,,,0,,,,,West Bengal
,"A.H.ENT",,,"KUDGHAT",SUJIT SARKAR,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,West Bengal
,"ABDUL HAMID STORES",,BALLYGANJ,"BALLYGANJ",SUBRATA DAS,Y,0,,0,N,0,,R,"ANUSHREE ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"ADDYA AGENCY",,HALTU,"HALTU",SUBRATA DAS,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,West Bengal
,"ADHIKARI BROTHERS",,BOSEPUKUR ROAD,"BOSEPUKUR ROAD",SUBRATA DAS,Y,0,,0,N,0,,R,"DAS MARKETING",,"",,"",,,,,,,,0,,,,,West Bengal
,"ADI KALI GANGA",,RAJA SC MALLIK ROAD,"RAJA SC MALLIK ROAD",SUBRATA DAS,Y,0,,0,N,0,,R,"RAJMITA ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"AGNI SALES",,,"COLLEGE STREET",AVIJIT CHATTERJEE,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,West Bengal
,"AHALLA STORES",,,"MUKUNDAPUR",SUBRATA DAS,Y,0,,0,N,0,,R,"ADDYA AGENCY",,"",,"",,,,,,,,0,,,,,West Bengal
,"AJOY BARNAWAL",,PICNIC GARDEN,"PICNIC GARDEN",SUBRATA DAS,Y,0,,0,N,0,,R,"ANUSHREE ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"AJOY BHANDER",,AHALLA NAGAR,"AHALLA NAGAR",SUBRATA DAS,Y,0,,0,N,0,,R,"ADDYA AGENCY",,"",,"",,,,,,,,0,,,,,West Bengal
,"AJOY STORE",,V.I.P NAGAR,"V.I.P NAGAR",SUBRATA DAS,Y,0,,0,N,0,,R,"ANUSHREE ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"AKHANKHA",,NAKTALA ROAD,"NAKTALA ROAD",SUBRATA DAS,Y,0,,0,N,0,,R,"SHIB TRADERS",,"",,"",,,,,,,,0,,,,,West Bengal
,"ALI BHAI",,ANANDAPUR,"ANANDAPUR",SUBRATA DAS,Y,0,,0,N,0,,R,"MA SARADA ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"ALIFIA STORES",,BALLYGANJ,"BALLYGANJ",SUBRATA DAS,Y,0,,0,N,0,,R,"ANUSHREE ENT",,"",,"",,,,,,,,0,,,,,West Bengal
,"ALKA SINGH",,RUBY PARK,"RUBY PARK",SUBRATA DAS,Y,0,,0,N,0,,R,"DAS MARKETING",,"",,"",,,,,,,,0,,,,,West Bengal
,"ALOKE STORES",,,"MUKUNDAPUR",SUBRATA DAS,Y,0,,0,N,0,,R,"ADDYA AGENCY",,"",,"",,,,,,,,0,,,,,West Bengal
