DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State
,"A TO Z",,,"HINDMOTOR",TANMOY GHOSH,Y,0,,0,N,0,,R,"AMANTRAN (HINDMOTOR)",,"",,"",,,,,,,,0,,,,,WB
,"A TO Z ENTERPRISE",,,"COCHBIHAR",GOBINDA BISWAS,Y,0,,0,N,0,,R,"E.U. ENTERPRISE",,"",,"",,,,,,,,0,,,,,WB
,"A. ONE DIRTRIBUTOR (NIYAMATPUR)",,,"DISHERGARH",TANMOY GHOSH,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,WB
,"A. RASID",,,"KALIACHAK",GOBINDA BISWAS,Y,0,,0,N,0,,R,"RABI ENTERPRISE (MALDA)",,"",,"",,,,,,,,0,,,,,WB
,"A.A. MALLIK",,,"JOYPUR",SUBRATA MONDOL,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,
,"A.A. MULLICK & CO",,,"AMTA",SUBRATA MONDOL,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,WB
,"A.A. STORES",,,"SARSUNA",NIMAI MAITY,Y,0,,0,N,0,,R,"RUPAM MARKETING",,"",,"",,,,,,,,0,,,,,WB
,"A.B. ENTERPRISE",,,"SALT LAKE",DIPANKAR PODDAR,Y,0,,0,N,0,,R,"SAHA AGENCY",,"",,"",,,,,,,,0,,,,,WB
,"A.B.C.D",,,"MANIKTOLA",DIPANKAR PODDAR,Y,0,,0,N,0,,R,"P. G. TRADERS",,"",,"",,,,,,,,0,,,,,WB
,"A.C.PAPER MART.",,,"RANAGHAT-SHANTIPUR.",DIPANKAR PODDAR,Y,0,,0,N,0,,R,"SWAPNA ENTERPRISE.",,"",,"",,,,,,,,0,,,,,WB
,"A.D. ENTERPRISE",,,"SHYAM BAZAR",DIPANKAR PODDAR,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,WB
